Fecha y Hora de la Sesion;Tiempo Tutorial (s);Volver (Menu Gestos);Acciones Guardar/Cargar;Volver (Asignacion Boton);Entrar (Asignacion Boton);Volver (Explorador);Entrar (Explorador)
2026-06-17 20:46:56;0.0;3;1;1;4;2;2
2026-06-17 20:49:13;0.0;0;0;0;0;1;1
2026-06-17 21:02:16;0.0;4;4;4;9;0;0
2026-06-17 21:04:43;0.0;1;1;0;1;1;1
2026-06-17 21:08:35;0.0;0;0;0;1;0;0
2026-06-17 21:09:12;0.0;0;0;2;4;0;0
2026-06-17 21:12:28;0.0;0;0;1;2;0;0
2026-06-17 21:14:11;0.0;0;0;2;2;0;0
2026-06-17 21:17:54;0.0;0;0;1;2;0;0
2026-06-17 21:20:55;0.0;0;0;0;0;0;0
2026-06-17 21:22:45;38.38;0;1;0;0;0;0
2026-06-17 21:25:20;0.0;0;0;0;0;0;0
2026-06-17 21:25:44;10.12;0;1;0;0;0;0
2026-06-17 21:31:05;37.8;0;1;0;0;0;0
